DATE,PCPI26021
1969-01-01,3906
1970-01-01,4066
1971-01-01,4343
1972-01-01,4810
1973-01-01,5248
1974-01-01,5666
1975-01-01,5951
1976-01-01,6304
1977-01-01,7028
1978-01-01,7752
1979-01-01,8263
1980-01-01,8904
1981-01-01,9705
1982-01-01,10342
1983-01-01,10892
1984-01-01,11844
1985-01-01,12496
1986-01-01,13292
1987-01-01,14170
1988-01-01,14902
1989-01-01,15989
1990-01-01,16596
1991-01-01,17055
1992-01-01,18285
1993-01-01,19347
1994-01-01,20431
1995-01-01,21414
1996-01-01,22146
1997-01-01,23647
1998-01-01,24549
1999-01-01,25981
2000-01-01,27102
2001-01-01,28285
2002-01-01,28623
2003-01-01,29276
2004-01-01,30586
2005-01-01,30876
2006-01-01,32578
2007-01-01,34259
2008-01-01,35920
2009-01-01,34259
2010-01-01,36120
2011-01-01,37470
2012-01-01,37777
2013-01-01,38220
2014-01-01,40046
2015-01-01,42486
2016-01-01,44018
2017-01-01,45651
2018-01-01,47430
