DATE,MIALLE0POP
1970-01-01,66.575
1971-01-01,68.700
1972-01-01,70.500
1973-01-01,71.200
1974-01-01,72.400
1975-01-01,74.000
1976-01-01,75.800
1977-01-01,77.400
1978-01-01,78.800
1979-01-01,80.900
1980-01-01,81.555
1981-01-01,83.059
1982-01-01,83.214
1983-01-01,82.928
1984-01-01,83.592
1985-01-01,84.528
1986-01-01,85.456
1987-01-01,86.970
1988-01-01,88.278
1989-01-01,89.217
1990-01-01,90.982
1991-01-01,92.021
1992-01-01,93.300
1993-01-01,94.801
1994-01-01,96.294
1995-01-01,97.941
1996-01-01,99.560
1997-01-01,101.237
1998-01-01,102.543
1999-01-01,104.476
2000-01-01,106.001
2001-01-01,107.709
2002-01-01,108.781
2003-01-01,109.976
2004-01-01,111.181
2005-01-01,111.985
2006-01-01,112.445
2007-01-01,112.965
2008-01-01,113.355
2009-01-01,113.226
2010-01-01,111.528
2011-01-01,111.158
2012-01-01,111.499
2013-01-01,112.013
2014-01-01,113.357
2015-01-01,114.136
2016-01-01,114.995
2017-01-01,116.433
2018-01-01,117.327
