DATE,MIBERR5POP
1970-01-01,163.940
1971-01-01,165.200
1972-01-01,168.100
1973-01-01,170.700
1974-01-01,172.000
1975-01-01,173.400
1976-01-01,174.900
1977-01-01,174.900
1978-01-01,173.400
1979-01-01,173.600
1980-01-01,171.276
1981-01-01,170.961
1982-01-01,166.840
1983-01-01,164.326
1984-01-01,163.308
1985-01-01,162.945
1986-01-01,162.415
1987-01-01,162.973
1988-01-01,163.001
1989-01-01,162.143
1990-01-01,161.415
1991-01-01,161.622
1992-01-01,161.982
1993-01-01,162.266
1994-01-01,162.353
1995-01-01,163.022
1996-01-01,162.873
1997-01-01,162.407
1998-01-01,162.046
1999-01-01,162.028
2000-01-01,162.644
2001-01-01,161.765
2002-01-01,161.625
2003-01-01,161.691
2004-01-01,161.421
2005-01-01,160.467
2006-01-01,159.772
2007-01-01,160.015
2008-01-01,160.391
2009-01-01,160.416
2010-01-01,156.742
2011-01-01,156.875
2012-01-01,156.626
2013-01-01,156.138
2014-01-01,155.989
2015-01-01,155.071
2016-01-01,154.473
2017-01-01,154.362
2018-01-01,154.141
