DATE,MIINGH5POP
1970-01-01,261.039
1971-01-01,262.900
1972-01-01,265.400
1973-01-01,266.800
1974-01-01,268.800
1975-01-01,265.700
1976-01-01,267.100
1977-01-01,267.100
1978-01-01,269.100
1979-01-01,269.500
1980-01-01,275.520
1981-01-01,275.356
1982-01-01,270.719
1983-01-01,269.312
1984-01-01,269.570
1985-01-01,271.718
1986-01-01,277.788
1987-01-01,279.799
1988-01-01,281.315
1989-01-01,280.975
1990-01-01,282.095
1991-01-01,283.241
1992-01-01,284.074
1993-01-01,284.578
1994-01-01,283.953
1995-01-01,282.420
1996-01-01,284.144
1997-01-01,283.529
1998-01-01,281.669
1999-01-01,280.035
2000-01-01,279.680
2001-01-01,280.597
2002-01-01,281.059
2003-01-01,280.717
2004-01-01,281.527
2005-01-01,280.354
2006-01-01,279.000
2007-01-01,278.307
2008-01-01,277.611
2009-01-01,276.857
2010-01-01,281.112
2011-01-01,282.753
2012-01-01,283.509
2013-01-01,284.119
2014-01-01,285.654
2015-01-01,287.168
2016-01-01,289.937
2017-01-01,292.327
2018-01-01,292.735
