DATE,MIJACK0POP
1970-01-01,143.274
1971-01-01,143.600
1972-01-01,144.400
1973-01-01,145.500
1974-01-01,146.900
1975-01-01,147.900
1976-01-01,148.500
1977-01-01,150.300
1978-01-01,151.500
1979-01-01,151.800
1980-01-01,151.495
1981-01-01,151.459
1982-01-01,150.195
1983-01-01,147.930
1984-01-01,145.374
1985-01-01,144.602
1986-01-01,145.355
1987-01-01,147.758
1988-01-01,148.357
1989-01-01,148.816
1990-01-01,150.128
1991-01-01,151.039
1992-01-01,151.465
1993-01-01,152.445
1994-01-01,152.288
1995-01-01,153.313
1996-01-01,154.289
1997-01-01,155.331
1998-01-01,155.991
1999-01-01,157.085
2000-01-01,158.711
2001-01-01,159.753
2002-01-01,160.801
2003-01-01,161.921
2004-01-01,161.800
2005-01-01,162.561
2006-01-01,162.780
2007-01-01,162.713
2008-01-01,160.246
2009-01-01,159.537
2010-01-01,160.125
2011-01-01,159.656
2012-01-01,159.966
2013-01-01,159.637
2014-01-01,159.437
2015-01-01,159.292
2016-01-01,158.321
2017-01-01,158.69
2018-01-01,158.823
