DATE,MIKALA7POP
1970-01-01,201.550
1971-01-01,201.600
1972-01-01,202.900
1973-01-01,201.100
1974-01-01,202.600
1975-01-01,203.700
1976-01-01,205.900
1977-01-01,207.500
1978-01-01,209.000
1979-01-01,210.300
1980-01-01,212.378
1981-01-01,213.055
1982-01-01,213.434
1983-01-01,212.440
1984-01-01,212.995
1985-01-01,214.247
1986-01-01,216.220
1987-01-01,218.687
1988-01-01,221.394
1989-01-01,222.646
1990-01-01,223.951
1991-01-01,225.015
1992-01-01,227.238
1993-01-01,229.489
1994-01-01,230.556
1995-01-01,232.184
1996-01-01,233.923
1997-01-01,235.090
1998-01-01,236.312
1999-01-01,237.581
2000-01-01,239.054
2001-01-01,239.994
2002-01-01,241.724
2003-01-01,243.454
2004-01-01,241.891
2005-01-01,242.419
2006-01-01,243.140
2007-01-01,244.385
2008-01-01,245.779
2009-01-01,247.865
2010-01-01,250.746
2011-01-01,252.572
2012-01-01,255.342
2013-01-01,257.317
2014-01-01,258.962
2015-01-01,259.716
2016-01-01,261.317
2017-01-01,263.001
2018-01-01,264.87
