DATE,MIMONR5POP
1970-01-01,119.215
1971-01-01,121.600
1972-01-01,123.400
1973-01-01,124.300
1974-01-01,124.900
1975-01-01,126.300
1976-01-01,127.100
1977-01-01,130.000
1978-01-01,132.400
1979-01-01,134.300
1980-01-01,134.659
1981-01-01,134.729
1982-01-01,132.334
1983-01-01,130.888
1984-01-01,130.851
1985-01-01,130.386
1986-01-01,131.150
1987-01-01,131.852
1988-01-01,132.040
1989-01-01,132.700
1990-01-01,133.892
1991-01-01,134.664
1992-01-01,135.277
1993-01-01,135.623
1994-01-01,136.783
1995-01-01,138.631
1996-01-01,140.123
1997-01-01,141.725
1998-01-01,143.009
1999-01-01,144.525
2000-01-01,146.402
2001-01-01,147.630
2002-01-01,148.580
2003-01-01,149.733
2004-01-01,151.030
2005-01-01,152.219
2006-01-01,153.258
2007-01-01,153.295
2008-01-01,152.732
2009-01-01,152.264
2010-01-01,151.931
2011-01-01,151.475
2012-01-01,150.791
2013-01-01,150.135
2014-01-01,149.852
2015-01-01,149.386
2016-01-01,149.227
2017-01-01,149.592
2018-01-01,150.439
