DATE,MIWAYN3POP
1970-01-01,2670.368
1971-01-01,2669.000
1972-01-01,2652.500
1973-01-01,2593.600
1974-01-01,2551.100
1975-01-01,2510.000
1976-01-01,2461.700
1977-01-01,2416.900
1978-01-01,2383.800
1979-01-01,2353.200
1980-01-01,2337.843
1981-01-01,2275.169
1982-01-01,2231.999
1983-01-01,2199.498
1984-01-01,2181.158
1985-01-01,2172.791
1986-01-01,2168.060
1987-01-01,2161.103
1988-01-01,2136.061
1989-01-01,2122.313
1990-01-01,2107.915
1991-01-01,2111.811
1992-01-01,2114.839
1993-01-01,2113.713
1994-01-01,2109.434
1995-01-01,2111.313
1996-01-01,2113.482
1997-01-01,2100.674
1998-01-01,2085.111
1999-01-01,2072.114
2000-01-01,2058.765
2001-01-01,2059.821
2002-01-01,2054.607
2003-01-01,2048.106
2004-01-01,2037.936
2005-01-01,2025.951
2006-01-01,2009.120
2007-01-01,1981.433
2008-01-01,1948.984
2009-01-01,1924.438
2010-01-01,1815.155
2011-01-01,1803.1
2012-01-01,1795.973
2013-01-01,1780.371
2014-01-01,1771.931
2015-01-01,1764.726
2016-01-01,1760.095
2017-01-01,1756.264
2018-01-01,1753.893
